timestamp,firstName,middleName,lastName,email,mobile,gender,location,occupation,investement_interest,opportunities,dream,feedback,,
2021-09-24 00:00:00,Yashwantrao,Dattatraya,Yadav,Yashwantrao_657@xyz.com,9031851416,M,,Farmer,"Water, tech dissemination, marketing",Farm based value added products,Organic farming,,,
2021-08-29 00:00:00,Sanjay,Kapadekar,,Sanjay_770@xyz.com,9002776778,M,"Mahavir Nagar, Pandharpur",FMCG Distributor,,,,,,
2021-09-24 00:00:00,Arvind,Dorwat,,Arvind_266@xyz.com,9063741983,M,"Station ROad, Pandharpur",LEDP Training,Pandharpur is not a tourist place for class tourists,"Agri based, Pandharpur as a holy city, manufacturing, trading of religious items, food, hotels, lodge, tourism",Pandharpur should be a tourist place & should be branded on world map,Implementation of SMART CITY,,
2021-03-17 00:00:00,Kunal,R.,Kawathekar,Kunal_241@xyz.com,9076389838,M,,Retail,"Resources & political support, Govt Support","Looking at the city, we can see that there is a lot of scope for improvement",Related to farming & e-commerce,,,
2021-08-14 00:00:00,Akshay,Ashok,Wadadekar,Akshay_63@xyz.com,9075148548,M,"Isbavi, Pandharpur",Poultry Farm,Business loan issues from bank,Agri related business and food industry related business,Oil production & hotels,,,
2021-07-12 00:00:00,Jitendra,Jayprakash,Karade,Jitendra_602@xyz.com,9009558298,M,Chaitanya Nagar Pandharpur,"Farming, Grape farming",-,"Pomegranate processing: juice & seeds
Raisins export",-,,,
2021-01-16 00:00:00,Shubham,Sunil,Yadav,Shubham_232@xyz.com,9006189932,M,"Navipeth, Pandharpur",,"Infrastsructure, Production units, small IT solutions","Food processing units, small-scale industries could be started immediately","Warehouse of products related to agriculture, Small IT units can lead to solving the problems of small businesses. ",,,
2021-08-26 00:00:00,Deepak,Vasudev,Wadadekar,Deepak_712@xyz.com,9030119422,M,Pandharpur,,Develop religious tourism,"Agro tourism, hotels, food parks",hotels & food parks,We need to be nice to the tourists so that the trust is built. But we dont behave so. So we need people to train the Nagar Sevaks in dealing with tourists.,Works in Sambhaji Cricket for 20 years and there are many aspiring businesses. He found it difficult in the beginning and is interested in new businesses for beginners. Youth can be given tulsi mala production training and converting tomatoes in value added products such as ketchup training.,
2021-09-12 00:00:00,Prasad,Maruti,Satpute,Prasad_225@xyz.com,9054847866,M,Pandharpur,Cattle feed distributor & goat farmer & poultry farmer,Pandharpur should have MIDC so that people can get jobs easily,"Agro tourism, export (agri products like pomegranate, grapes, bananas,etc), food parks & hotels",Poultry farm & food parks,,,
2021-02-25 00:00:00,Sandeep,Bharat,Patil,Sandeep_76@xyz.com,9098890601,M,"Wakhari, Pandharpur",Sarki Pend Manufacturing Unit,"Loading point for incoming heavy vehicles, business & business trainer miscommunication, lack of awareness about banking schemes, lack of skilled labor, lack of indutrial facilities","food sector, cattle feed, milk sector","Branded oil refineries, but there is a lack of investment ","Full benefits of govt schemes for starting a business, make strong connections between businessmen, banking sector & uneducated people.",,
2021-06-06 00:00:00,Gurudev,Suresh,Kurnawal,Gurudev_675@xyz.com,9095871895,M,"Navipeth, Pandharpur",CA ,"MIDC/ Industries Area Development including agro food based processing industries,manufacturing of organic products & its trading",Exporting accounting & related services,-,-,,
2020-12-17 00:00:00,Akshay,pavankumar,shah,Akshay_609@xyz.com,9083872754,M,"Gandhi road,nath chouk,Pandharpur",CA in practice,Quality jobs & technical education,Exporting accounting & related services,-,-,,
2021-09-29 00:00:00,Rushikesh,M.,Bhattad,Rushikesh_580@xyz.com,9086442465,M,Mahadwar Pandharpur,Cloth merchant,-,-,"Packaged chandrabhaga water,Bangle production,Tulsimala production,Floral waste management",-,,
2021-04-21 00:00:00,Rahul,Bhattad,,Rahul_646@xyz.com,9070781253,M,Mahadwar Pandharpur,Cloth merchant,-,textile raw material & textile hub,Food processing,"To prepare people for business start up mentally,Idea generation to financial management,marketing, professional & technical training, etc.",,
2021-05-24 00:00:00,Dr.Sagar,Bhosale,,Dr.Sagar_707@xyz.com,9047750587,M,"Bhosale chouk,Pandharpur",Arth packaging,"Sad polytics,technical support team,need financial support","Fruit/food processing units,tourism business corridoor",Food processing,"Business related to health sector,sezenge & glass ampoule manufacturing",,
2021-01-17 00:00:00,Mahesh,Shashikant,Khiste,Mahesh_51@xyz.com,9025785059,M,-,"journalist,hostel",lack of facilities to visitors,"Tourism,hotel,cow shelter & related business","Tourism,hotel,cow shelter & related business",Todays discussion was interesting,,
2021-04-20 00:00:00,Dr.D.S.Choudhari,,,Dr.D.S.Choudhari_948@xyz.com,9099787463,M,"Patkul,Taluka-Mohol,",Professor,"Tourism ,basic facilities",Agriculture based processing,Agri based products,-,,
2021-07-25 00:00:00,Shripad,Damodar,Bhivrao,Shripad_267@xyz.com,9034650633,M,"Wangikarnagar,Pandharpur","Food processing unit, cafe,engineering firm","Wari realated financial facilities,Traditional business should changed with generation,Enterpreneural environment & community development",Religious tourism & agro business,Small food production unit ,-,,
2021-02-13 00:00:00,Vitthal,Madhukar,Jadhav,Vitthal_871@xyz.com,9071866923,M,"Bouhali, Taluka- Pandharpur",Farmer," production of Agro product,Sugarcane,pomegranete,grapes,berries,other vegetables are available in huge amount needbusiness related to  processing   ",Agroproduct processing business,Jaggery processing & fruit juice processing,Agroproduct are available in huge amount & that should go to huge market within less time  & trasportation facility should available for that ,,
2021-09-18 00:00:00,Mane,Prajit,Ashok,Mane_595@xyz.com,9018399949,M,Pandharpur,Farmer,"Industrialization,develop MIDC",Jaggery Factory,-,Idea is good,,
2021-02-16 00:00:00,Shashank,Bharat,Thite,Shashank_19@xyz.com,9041273984,M,"Mauli Nagar,Pandharpur",-,-,-,Organic farming,-,,
2021-08-10 00:00:00,Aditya,Idate,,Aditya_362@xyz.com,9097048883,M,"Bhaktimarg,Pandharpur","Tea production,Unisex salon","lack of awareness in market about quality,lack of external support,Unity in business community","Food industry,Manufacturing industry",Ice cream manufacturing unit,-,,
2021-02-23 00:00:00,Ravindra,Bhosale,,Ravindra_98@xyz.com,9077669840,M,"Bhosale chouk,Pandharpur",-,Parking on main roads,"Manufacturing industry,tourism related business,corn,jawar,onion processing business & pomegranate procesing business","Grain base, alchohol,ethenol,sugarcane byproducts",Please be in touch,,
2021-02-17 00:00:00,Mithun,G.,Maniyar,Mithun_461@xyz.com,9054785676,M,"SVERI COP,Pandharpur",,"Cleanliness,tourism spot are not well developed",Touism,-,-,,
2021-02-02 00:00:00,Sanjay,Pralhad,Maske,Sanjay_33@xyz.com,9072679280,M,"Market yard,Pandharpur",Farmer,"Lack of MIDC so difficulties for business start up, need seperate market & transportation for fruit market",Opportunities for grapes/poegranate/raisins marketing in pandharpur area so scope for storage & transportation of fruits.,Interested to do marketing of pomegranate with our as well as other countries also.,,,
2021-07-31 00:00:00,Ganesh,Balkrushna,Atkale,Ganesh_931@xyz.com,9037275177,M,,Software engineer,Need of MIDc,"All improvements rekated to agricuture,news,IT",Animal husbandry on a global scale,-,,
2021-02-15 00:00:00,Satish,Vasant,Mandave,Satish_703@xyz.com,9061326649,M,"Takali road,pandharpur",Professor,"Proper management of crowd during wari,Garbage problem in Pandharpur","small scale business like agarbatti,paper products,packaged food etc",-,,,
2021-01-09 00:00:00,Vishal,B,Salunkhe,Vishal_929@xyz.com,9045808367,M,Pandharpur,Coffee shop & ice cream distributor,Tourism agro & pilgrim,Industrial hub & private air support,Distribution chain like zomatoin grocery & medicine,Need guidance regarding start up & financial support,,
2021-08-23 00:00:00,Kiran,Shankar,Ghadage,Kiran_304@xyz.com,9081236989,M,Pandharpur,Pruthvi Hotel,"Lack of agro business,lack of business to support riligous tourism","Agro business,MIDC",-,-,,
2021-02-01 00:00:00,Ranjitsingh,Deshmukh,,Ranjitsingh_231@xyz.com,9079227931,M,Pandharpur,Two wheeler garage,Basic infrastructure,process industries & agricutural product ,-,-,,
2020-12-28 00:00:00,Sagar,Gopal,Badave,Sagar_33@xyz.com,9092735505,M,"Bhaktimarg,Pandharpur",Politician,,,,,,
2021-08-09 00:00:00,Koustubh,Satish,Hendre,Koustubh_757@xyz.com,9087038607,M,,Export import business,Industrial development corporation,"Agriculture sector, processed food units & processing units",export import,-,,
2021-03-03 00:00:00,Kulkarni,Suhas,Haribhau,Kulkarni_535@xyz.com,9076238864,M,"Shivaji chouk,Pandharpur",Farmer/businessman,Huge production of fruits but there s no proper facility for marketing so need make whats app/fb group so that maximum farmer will get benefit of this. ,"Tissue culture lab,nursery,Private soil testing lab",-,-,,
2021-04-11 00:00:00,Dipak,dilip,thite,Dipak_414@xyz.com,9022966770,M,"Gajanan Nagar,Pandharpur",Stationery shop owner,"Menatality,rural facilities should be increased","living,eating & entertaining facilities for devotees","water park,garden development etc",-,,
2021-05-18 00:00:00,Pandurang,Ghanti,,Pandurang_991@xyz.com,9094156129,M,"Ghongadi galli,Pandharpur",Business,Unemployment due to lack of MIDC,"Fruit production is in huge amount so business on that,religous tourism development",-,-,,
2021-03-14 00:00:00,Vitthal,Prakash,Katkamwar,Vitthal_767@xyz.com,9038273250,M,"Navi peth,Pandharpur",Trading & agency,"Quality employee,MIDC",All type,-,-,,
2021-07-12 00:00:00,Rajesh,Kapadikar,,Rajesh_42@xyz.com,9019569851,M,"Mahaveer Nagar,Pandharpur",Family Cloth showroom,Pandharpurs market is moderate right now but due toclack of vision the market level is going down,-,-,-,,
2021-03-15 00:00:00,Adv.Bhagwan,vasantrao,Bhadule,Adv.Bhagwan_169@xyz.com,9007000185,M,"Shadule road,Pandharpur",Advocate,Yes,Temple development business,yes,"Unemployment should be minimized,loyal politicians necessary,investment for business start up should be provided",,
2020-12-03 00:00:00,Dilip,Gnyaneshwar,Gurav,Dilip_661@xyz.com,9006680065,M,"Gopalpur,Pandharpur",Farmer,"Roads,Cleanliness,religous tourism development",Small businesses like lodging,Tree plantation & care,"development of pandharpur,Develop road connectivity between pandharpur pune & Mumbai",,
2021-05-16 00:00:00,Sachin,Kulkarni,,Sachin_838@xyz.com,9057105170,M,"Gajanan Nagar ,Pandharpur",Bricks plant & farming,Fruit processing center for farmers,Food processing plant,-,-,,
2020-12-08 00:00:00,Shreyas,Sachin,Kulkarni,Shreyas_595@xyz.com,9016318175,M,"Gajanan Nagar ,Pandharpur",Student,Dusty roads,LACK OF MIDC ,Hotel & catering,-,,
2020-12-31 00:00:00,Shardul,S.,Nalbilwar,Shardul_30@xyz.com,9095237813,M,Isbvi,Construction as builder ,Road infrastructure development,"Agriculture development, Agri-product industries, MIDC, Branding of Pandharpur and lord vitthal, Start from small movements to tourism- 3* or 5* hotel to amusement parks","Agriculture industries production ( agri products), electronic vehicles industries",,,
2021-09-21 00:00:00,Lohakare,Balaji,Dattatray,Lohakare_876@xyz.com,9011178247,M,Begampur,Farmer,"There are temples in multiple locations but there isn't any dedicated bus transport to take visitors and tourists around the area, Rivers are not clean and not safe for health",Agriculture related progress and tourism,Organic farming and marketing,,,
2021-05-21 00:00:00,Lakhan,Bharat,Mane,Lakhan_927@xyz.com,9024705357,M,Begampur,All type of chain link manufacturing,Farmer related business,"The opportunity in the local area for business, compounding/fencing around the farm to prevent animal entries",Compounding all types of chainlinks which are used in industries ,,I completed Polytechnic from Pandharpur. I did degree and after that I joined one private company.One of my friends was working in sugar factory called for chainlink after that I studied one month on this & decided to start chainlink manufacturing unit.I purased material from Sangli MIDC & I faced finanally that time.Total budget was 12 Lakhs but someone told me there are some financially supporting schemes. Is there any scheme for that?I was unable to collect that much amount.Schemes like vikas koushalya. In our district there is one office at park chouk they are giving loan upto 10 lakhs.And there are two schemes one is for maratha upto 10 lakh & after that upto 25 lakhs.If 4 peoples make one group they can get loan upto 50 lakhs without any interest.I tried that procedure also when I failed to that also I did strike for 3 days at Azad maidan. They gave me 10 lakhs loan & now I am running two units.I want to speak about farming. Everywhere owner is deciding price of their product but farmers can't decide their prices so I want to say that every farmer should decide price of their crop/product.Farmer should learn marketing. There are so many schemes for young generation but lack of information no one is getting benefited.,
2020-12-15 00:00:00,Sanjay,Sukhdev,,Sanjay_623@xyz.com,9038786474,M,,Farmer,Farmer relatedd business startup,Entrepreneurship,,,,
2021-04-05 00:00:00,Tukaram,B.,Yadav,Tukaram_888@xyz.com,9070357065,M,Mangalweda,"ICICI Bank, Job ",Agriculture problem,,,,We are providing endowment for the poor people on road so for the progress after studying various factors I realised that womens & girls from rural background need sanitary napkins so I decided to manufacture it in less cost so ordered quotations of 3-4 companies & finalised one from gujrat so that i can sell it with less price as compare to others & avoid health issues of ladies from rural background.,
2021-09-19 00:00:00,Akash,Sunil,Mehtre,Akash_279@xyz.com,9051566431,M,Begumpur,Agency,,,Parking not available,,,
2021-08-08 00:00:00,Javid,L,Shaikh,Javid_617@xyz.com,9043148737,M,Begumpur,"Member of Panchayat, Farmer",In rural areas some youth do not have farming available or empoloyment opportunities - what can we do about this?,,,,I became member of village Panchayat. It is necessary for young generation to do something better I was entered in the politics but I realised that politics is complicated. I want to tell that peoples are not getting full information.There are some peoples in our village who don't having homes or nothing to live but they are interested to do something. So I'm expecting something work from your center & I hope you will provide information to us so that we will communicate with these peoples & feel happy for social work.,
2021-05-26 00:00:00,Akash,Sushil,Ingale,Akash_185@xyz.com,9036931903,M,Mangalweda,Business/Farmer,,Industries or MIDC area,"Food processing, industrial area, agriculture belt.",,"Im Firm owner of Sunitachi Petroleum.I give training at domestic level. I completed my education in Mumbai.Right now I'm doing business from 1 year, transformer oil,base oil.I need funding for industry.In the mumbai MIDC almost 125acres are given by Govt. for solar power for generating electricity.So I need help from you for the plant.",
2021-09-09 00:00:00,Toraskar,Soham,Dhashrath,Toraskar_591@xyz.com,9077708525,M,Sarkoli,,Give the informative knowledge about tourism and cleaning,PCD-no pharma company in the entire solapur company,,,,
2021-05-07 00:00:00,Shweta,Arjun,Bahire,Shweta_823@xyz.com,9001241867,F,Umbergaon,,Opportunities for poor people or any financial help for their situation,,,,,
2021-05-20 00:00:00,Siddhika,Althap,Inamdar,Siddhika_870@xyz.com,9091293319,M,Kasegoan,Farming,Information about new ideas is less,Farmer related business like food processing or poultry,"Business related guidance and information, financial information",,,
2021-09-27 00:00:00,Jaisree,Vijay,Madane,Jaisree_629@xyz.com,9055604606,F,Bhalabali,Job and farmer,No awareness about digital marketing,Chemical free farming,Everyone should have a whatsapp group in the community and discuss about chemical free farming ,,,
2021-06-13 00:00:00,Mahesh,Hanumanta,Kagate,Mahesh_9@xyz.com,9020779939,M,Malshiras,Government Contractor,"Marketing for farming is not available, low prices, ","Export business out of state or country, organic farming",Make a group for farmers and export outside the area,,,
2021-03-01 00:00:00,Anil,Sopan,Repad,Anil_748@xyz.com,9073182550,M,"Tulsi, Madha Taluka",Business Farming,,"Solar energy production in every village, alternate and latest technologies for pesticide spraying",The standard of colleges should be as per cities such as Bombay,,There is electricity shortage in our village for farming.We are facing three shifts for electricity so it is difficult for us to supply water to our crop.If it is possible to install solar plant at our farm or is there any fund provided for that?,
2021-07-16 00:00:00,Ram,Raje,M. Deshmukh,Ram_23@xyz.com,9022497257,M,Kasegaon,Farming,,,,,,
